,0
0,13
1,26
2,28
3,40
4,34
5,34
6,48
7,53
8,66
9,76
10,78
11,81
12,93
13,91
14,101
15,107
16,112
17,98
18,83
19,88
20,96
21,106
22,115
23,117
24,125
25,134
26,141
27,146
28,153
29,150
30,147
31,150
32,156
33,160
34,161
35,166
36,171
37,176
38,179
39,182
40,188
41,193
42,190
43,194
44,194
45,196
46,203
47,197
48,193
49,198
50,198
51,200
52,206
53,204
54,205
55,206
56,206
57,211
58,211
59,212
60,198
61,196
62,195
63,189
64,194
65,196
66,192
67,191
68,186
69,188
70,192
71,191
72,193
73,194
74,194
75,201
76,206
77,211
78,214
79,218
80,218
81,221
82,224
83,231
84,234
85,235
86,241
87,244
88,246
89,250
90,251
91,246
92,248
93,251
94,253
95,255
96,255
97,260
98,266
99,268
100,271
101,272
102,272
103,267
104,264
105,260
106,262
107,265
108,250
109,253
110,253
111,256
112,254
113,259
114,254
115,255
116,257
117,260
118,259
119,261
120,257
121,261
122,258
123,261
124,265
125,257
126,259
127,263
128,264
129,268
130,266
131,267
132,265
133,265
134,268
135,267
136,269
137,266
138,270
139,274
140,275
141,275
142,270
143,268
144,267
145,270
146,272
147,274
148,277
149,280
150,280
151,277
152,280
153,283
154,285
155,286
156,291
157,294
158,295
159,294
160,295
161,297
162,300
163,302
164,301
165,300
166,301
167,301
168,300
169,298
170,299
171,303
172,296
173,293
174,295
175,295
176,292
177,292
178,291
179,288
180,288
181,288
182,289
183,292
184,291
185,292
186,296
187,299
188,300
189,302
190,305
191,304
192,306
193,306
194,305
195,305
196,306
197,301
198,301
199,301
200,306
201,309
202,309
203,312
204,314
205,317
206,319
207,320
208,323
209,325
210,325
211,330
212,329
213,332
214,333
215,335
216,336
217,338
218,338
219,340
220,340
221,341
222,341
223,345
224,343
225,344
226,338
227,342
228,338
229,339
230,341
231,338
232,334
233,335
234,336
235,337
236,340
237,342
238,341
239,342
240,343
241,344
242,344
243,345
244,347
245,348
246,350
247,350
248,350
249,351
250,356
251,349
252,339
253,342
254,341
255,342
256,345
257,349
258,351
259,352
260,352
261,352
262,350
263,351
264,352
265,353
266,358
267,360
268,362
269,361
270,362
271,362
272,364
273,364
274,367
275,369
276,372
277,372
278,374
279,374
280,377
281,379
282,379
283,379
284,381
285,382
286,382
287,382
288,384
289,385
290,385
291,386
292,388
293,392
294,395
295,393
296,395
297,396
298,397
299,393
