Algorithm_type,Num_Repeats,Average_value,Best_Run_time,SD,Max_value,Min_value,Median_value,Best_solution
NIR,1,28.24,/,/,/,/,/,"[3, 2, 3, 1, 1, 0, 3, 0, 1, 3, 2, 3, 2, 2, 1, 1, 0, 2, 1, 3]"
GA,15,17.27666667,13.26036859,0.8290128,18.6,15.69,17.54,"[4.0, 0.0, 3.0, 1.0, 1.0, 0.0, 3.0, 4.0, 0.0, 2.0, 4.0, 4, 2.0, 2.0, 3, 1.0, 1.0, 2.0, 0.0, 0.0]"
