,Power load,Electricity Cost,Damage
224,4450.594539982657,594.064011482448,1.5313069406220774
225,4365.636917307132,594.571091910698,1.514009527186681
226,7660.372992724068,532.3334478440604,3.0787779293150805
227,4030.1494410011255,610.6560052414861,1.3243634226329841
228,4613.047793948642,578.7630078649034,1.8428504079925585
229,8054.248032708398,528.379245550547,3.3208975940616865
230,5858.835854709315,557.5668948014534,2.2105247374184143
231,5151.787421635232,576.9224033730843,1.7649968801357563
232,3773.81311548455,635.8530995703921,1.2218962856539388
233,6934.288346652846,538.9198374613906,2.837199309963729
234,8759.362763523706,528.5399383766221,3.2258217256589714
235,6513.312621666206,556.028638296576,2.2187499047157315
236,7074.774035695103,538.1532166736024,2.862316562101007
237,3920.202057293435,585.75594207724,1.8028449684674324
238,4053.406407811137,613.2427715845785,1.2761979450433245
239,5191.883357037002,561.7737470781426,2.2273379401484226
240,6281.503267210163,546.2696369408561,2.6458383908108996
241,7065.773339141001,536.6095534982446,2.9585800082830627
242,6098.856566211448,560.89866886589,2.1050335714641655
243,7633.120617403168,538.8406810483541,2.7315699970365905
244,5902.878815922652,550.4638815627981,2.506225741032427
245,3187.947785336164,601.0017016742195,1.8148356754884547
246,4651.811435788851,575.4823662598947,1.8875614353222736
247,6766.447286050248,554.6483231316616,2.252608292702387
248,6707.411452315349,540.6838838378588,2.7608654601219924
249,4504.785034687258,581.8570951804172,1.7553334018722717
250,5229.080256962775,575.5918635344071,1.8063258428800189
251,4570.034022467057,566.8457396691269,2.3563246383291907
252,4058.2907857568835,628.2029279380268,1.1769004941039498
253,7966.583126961856,529.493819309558,3.2386590622905893
254,3761.504757909889,620.1070374089716,1.2857268609463626
255,5702.278216848164,554.408690493142,2.3883389712038325
256,5233.734003751277,565.6941303283949,2.0707040746120793
257,5757.7796392273585,556.8547416258881,2.2658705978946028
258,3878.094006131787,595.592909257836,1.5433178413701925
259,4429.134705941944,570.5100799681327,2.274796247565884
260,4419.258221446986,567.6341863125601,2.296424003872771
261,5058.534295372957,558.3556354563693,2.3974831206963323
262,5407.294914274176,562.732420741633,2.1177509321600025
263,5254.450931539072,574.3558544602397,1.8100803162333663
264,2893.3390142022167,607.4045951072532,1.9509918438053566
265,6582.42199377525,545.6828002915142,2.567146913343812
266,4671.5715946491655,565.2071303635812,2.2887133278200245
267,4055.4629591141675,576.1287218227856,2.02270395795559
268,4757.878696102699,564.778931585896,2.1585249651109573
269,4002.0533215935197,612.0587147677893,1.319722838050976
270,4406.907834551873,593.4867503046239,1.556669839420236
271,6236.769234310074,544.2542861905516,2.728087603457429
