,0
0,2648.9612449957754
1,2540.933432955737
2,2214.3656097574108
3,2181.7657823668706
4,2187.748661049303
5,2179.979129518509
6,2175.5948563013512
7,2171.063353109818
8,2175.4170885258923
9,2164.442591434717
10,2180.266895778102
11,2180.266895778102
12,2202.8389675407548
13,2180.266895778102
14,2205.0949460664488
15,2217.2329393998807
16,2217.2329393998807
17,2217.2329393998807
18,2217.2329393998807
19,2217.2329393998807
20,2217.2329393998807
21,2217.2329393998807
22,2217.2329393998807
23,2217.2329393998807
24,2217.2329393998807
25,2217.2329393998807
26,2180.89692075627
27,2180.89692075627
28,2180.89692075627
29,2181.7519929369114
30,2181.7519929369114
31,2181.7519929369114
32,2181.7519929369114
33,2221.5018652056883
34,2221.5018652056883
35,2181.7519929369114
36,2182.9353762825162
37,2182.9353762825162
38,2182.9353762825162
39,2182.9353762825162
40,2182.9353762825162
41,2192.5926377569294
42,2192.5926377569294
43,2192.5926377569294
44,2192.5926377569294
45,2192.5926377569294
46,2211.1967502803777
47,2211.1967502803777
48,2211.1967502803777
49,2211.1967502803777
50,2211.1967502803777
51,2211.1967502803777
52,2205.670874599053
53,2205.670874599053
54,2204.318999624141
55,2204.318999624141
56,2205.670874599053
57,2205.670874599053
58,2194.4270550906945
59,2194.4270550906945
60,2194.4270550906945
61,2205.348625313672
62,2205.348625313672
63,2205.348625313672
64,2205.348625313672
65,2205.348625313672
66,2205.348625313672
67,2204.27615009278
68,2204.27615009278
69,2204.27615009278
70,2156.5711441073163
71,2156.5711441073163
72,2147.8009552609324
73,2166.807023300119
74,2158.7112896730773
75,2158.7112896730773
76,2158.7112896730773
77,2166.7381379076187
78,2158.1151512022243
79,2160.3613691519795
80,2160.3613691519795
81,2208.9725641702194
82,2204.030805227003
83,2204.030805227003
84,2204.030805227003
85,2165.4403039417234
86,2203.2989402710746
87,2204.7290495216007
88,2172.153723746643
89,2172.153723746643
90,2165.1416617903083
91,2174.369281917587
92,2149.6308546214714
93,2140.8081771053785
94,2140.594004775856
95,2148.1206804311782
96,2145.4191454778265
97,2145.990770642583
98,2146.4167731527377
99,2150.055697135003
