,0
0,5680.827871198282
1,5703.249609346292
2,5551.216628810631
3,5427.347651356351
4,5427.357315331212
5,5420.3421229128835
6,5402.810085527811
7,5350.630452703104
8,5267.68346360308
9,5266.976379855315
10,5266.973970068904
11,5266.973970068904
12,5268.5784109480455
13,5259.148907402534
14,5259.149519539646
15,5262.23118086278
16,5263.241719776096
17,5276.7627177303775
18,5264.54725949662
19,5276.4614139804335
20,5267.1418529656485
21,5267.1418529656485
22,5270.638447377449
23,5261.055133587176
24,5261.046613993553
25,5267.42521901458
26,5267.42521901458
27,5267.437362919453
28,5260.727941512668
29,5262.346522807453
30,5265.428015659125
31,5176.314284495113
32,5166.085917606442
33,5153.3145282247915
34,5154.473469281011
35,5156.441270101973
36,5154.999561187734
37,5155.116537803686
38,5155.005481627063
39,5163.491623110046
40,5153.908025860025
41,5151.586665644699
42,5151.005845727655
43,5154.183185920347
44,5154.168756480636
45,5154.155737448245
46,5154.176286890904
47,5154.172629201459
48,5154.1744043465715
49,5154.1947231428485
50,5154.175153020769
51,5154.188547377269
52,5154.16550207932
53,5151.507762065101
54,5151.718837363059
55,5151.7138082517
56,5151.566054773552
57,5151.565631360741
58,5156.445662396411
59,5154.767922482295
60,5151.669189049412
61,5151.329532324092
62,5152.98750250754
63,5153.014403428532
64,5153.014403428532
65,5152.980121687016
66,5152.968640488766
67,5152.959694611229
68,5151.101569382683
69,5151.101569382683
70,5151.104062420231
71,5154.554189483241
72,5154.554189483241
73,5154.554189483241
74,5151.315991470359
75,5151.2844591456305
76,5151.285341108877
77,5151.297570224058
78,5151.141430149889
79,5151.141430149889
80,5151.141430149889
81,5151.143941041296
82,5151.097818903049
83,5151.080571998073
84,5151.070527344604
85,5151.070527344604
86,5151.068148482038
87,5151.093303752178
88,5151.095325865747
89,5151.095136237386
90,5151.104457919468
91,5151.119128937749
92,5151.131369728417
93,5151.158259803261
94,5151.158401229857
95,5151.158415300597
96,5151.221767476935
97,5151.203025249097
98,5151.207724797175
99,5151.207724797175
100,5151.200940943339
101,5151.234933060987
102,5151.22807121621
103,5151.223093035274
104,5151.309634435171
105,5151.309634435171
106,5151.308950092931
107,5151.307614109483
108,5151.33317942936
109,5151.213861569121
110,5152.388750318369
111,5152.38888019441
112,5152.374819576122
113,5152.374902704224
114,5152.366786328434
115,5152.366491660196
116,5152.366491660196
117,5152.335967453298
118,5152.337101003617
119,5152.348287115387
120,5152.341885657829
121,5152.339978085316
122,5152.325173293892
123,5152.272459359931
124,5151.654982532846
125,5151.721685958203
126,5151.743299905761
127,5151.7507891676705
128,5151.770706515516
129,5151.756803379007
130,5151.756803379007
131,5150.76921826058
132,5150.777010744972
133,5150.777010744972
134,5150.773658088686
135,5150.753331999809
136,5150.770897353825
137,5150.790064905017
138,5150.763087131371
139,5150.747431550397
140,5150.734498748652
141,5150.716108064419
142,5150.632749763029
143,5150.598285962235
144,5150.474257647574
145,5150.473761874628
146,5150.473761874628
147,5150.472842871665
148,5150.472815108928
149,5150.492022759463
150,5150.492022759463
151,5150.675158256928
152,5150.674502955106
153,5150.674502955106
154,5150.6696936483095
155,5150.6644063226495
156,5150.644200948194
157,5150.644760491376
158,5150.645164438952
159,5150.619649263435
160,5150.619649263435
161,5150.607495255513
162,5150.60594779434
163,5150.60594779434
164,5150.610522155345
165,5150.610522155345
166,5150.638173984546
167,5150.638173984546
168,5150.637289426187
169,5150.637289426187
170,5150.631258257354
171,5150.6134153346675
172,5150.613275050656
173,5150.613275050656
174,5150.611151666744
175,5150.6063286360795
176,5150.607521105203
177,5150.607521105203
178,5150.640487250375
179,5150.555127815093
180,5150.560239684609
181,5150.57991275206
182,5150.632075431546
183,5150.623830884834
