,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,18.0,12.0,9.0,4.0,24.0,18.0,18.0,0.0,10.0,3.0,17.0,19.0,19.0,18.0,23.0,2.0,11.0,10.0,9.0,22.0,22.0,24.0,12.0
1,17.0,14.0,16.0,12.0,17.0,15.0,12.0,6.0,13.0,5.0,16.0,17.0,13.0,19.0,20.0,5.0,5.0,7.0,7.0,20.0,24.0,24.0,20.0
2,17.0,20.0,15.0,8.0,12.0,18.0,13.0,10.0,12.0,6.0,11.0,19.0,14.0,16.0,21.0,4.0,18.0,6.0,6.0,19.0,17.0,21.0,21.0
3,15.0,16.0,13.0,6.0,18.0,17.0,18.0,8.0,3.0,2.0,14.0,24.0,17.0,21.0,20.0,4.0,13.0,2.0,2.0,24.0,23.0,24.0,20.0
4,4.0,14.0,13.0,18.0,21.0,19.0,14.0,6.0,0.0,0.0,19.0,23.0,19.0,21.0,21.0,3.0,7.0,7.0,10.0,21.0,20.0,20.0,24.0
5,10.0,8.0,16.0,15.0,18.0,18.0,18.0,9.0,7.0,3.0,20.0,17.0,17.0,19.0,17.0,6.0,11.0,7.0,8.0,18.0,19.0,22.0,21.0
6,14.0,5.0,17.0,18.0,18.0,16.0,15.0,14.0,6.0,5.0,22.0,12.0,12.0,17.0,21.0,2.0,14.0,15.0,11.0,19.0,19.0,19.0,13.0
7,11.0,16.0,12.0,12.0,15.0,17.0,20.0,4.0,4.0,3.0,19.0,12.0,21.0,24.0,22.0,5.0,15.0,10.0,11.0,20.0,21.0,16.0,14.0
8,19.0,10.0,7.0,12.0,23.0,14.0,18.0,7.0,5.0,3.0,19.0,14.0,14.0,24.0,23.0,2.0,10.0,13.0,3.0,20.0,18.0,22.0,24.0
9,18.0,9.0,10.0,13.0,21.0,18.0,14.0,12.0,14.0,2.0,14.0,5.0,14.0,24.0,24.0,3.0,11.0,10.0,5.0,17.0,20.0,22.0,24.0
10,12.0,10.0,9.0,12.0,24.0,20.0,16.0,2.0,4.0,5.0,16.0,16.0,21.0,21.0,24.0,3.0,17.0,3.0,4.0,20.0,24.0,23.0,18.0
11,16.0,10.0,4.0,9.0,21.0,19.0,24.0,7.0,4.0,3.0,22.0,12.0,16.0,24.0,21.0,4.0,10.0,12.0,11.0,14.0,19.0,24.0,18.0
