,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
36,12.0,9.0,11.0,11.0,14.0,24.0,23.0,19.0,9.0,17.0,19.0,20.0,15.0,24.0,21.0,13.0,6.0,6.0,15.0,12.0,14.0
37,12.0,5.0,12.0,18.0,9.0,24.0,24.0,10.0,16.0,12.0,18.0,19.0,24.0,24.0,22.0,18.0,6.0,10.0,13.0,9.0,9.0
38,7.0,9.0,17.0,13.0,17.0,17.0,24.0,21.0,16.0,16.0,16.0,13.0,17.0,19.0,22.0,14.0,15.0,16.0,8.0,10.0,7.0
39,3.0,7.0,16.0,14.0,16.0,24.0,24.0,11.0,18.0,7.0,24.0,15.0,24.0,24.0,23.0,15.0,2.0,7.0,10.0,19.0,11.0
40,10.0,12.0,11.0,13.0,10.0,24.0,24.0,19.0,13.0,11.0,22.0,14.0,20.0,24.0,24.0,8.0,8.0,8.0,10.0,17.0,12.0
41,11.0,11.0,10.0,14.0,10.0,24.0,24.0,16.0,11.0,13.0,24.0,14.0,21.0,24.0,23.0,11.0,6.0,10.0,13.0,9.0,15.0
42,10.0,2.0,14.0,18.0,12.0,24.0,24.0,19.0,9.0,8.0,24.0,15.0,24.0,24.0,24.0,10.0,7.0,8.0,8.0,13.0,17.0
43,3.0,5.0,11.0,17.0,20.0,24.0,24.0,11.0,15.0,12.0,24.0,19.0,18.0,24.0,15.0,9.0,8.0,8.0,13.0,18.0,16.0
44,5.0,8.0,16.0,10.0,18.0,23.0,24.0,17.0,14.0,17.0,17.0,16.0,18.0,24.0,24.0,15.0,10.0,8.0,10.0,12.0,8.0
45,13.0,8.0,16.0,10.0,10.0,23.0,24.0,24.0,11.0,17.0,16.0,16.0,15.0,24.0,21.0,8.0,12.0,7.0,7.0,15.0,17.0
46,9.0,8.0,14.0,10.0,15.0,24.0,24.0,17.0,14.0,13.0,23.0,16.0,16.0,24.0,24.0,13.0,9.0,8.0,10.0,13.0,10.0
47,5.0,7.0,17.0,14.0,15.0,22.0,24.0,17.0,12.0,18.0,19.0,19.0,14.0,19.0,17.0,6.0,2.0,5.0,21.0,21.0,20.0
48,13.0,7.0,8.0,14.0,14.0,24.0,24.0,18.0,10.0,14.0,20.0,20.0,17.0,23.0,24.0,8.0,5.0,4.0,18.0,16.0,13.0
49,10.0,8.0,16.0,14.0,8.0,24.0,24.0,14.0,7.0,12.0,24.0,19.0,23.0,24.0,16.0,8.0,6.0,4.0,19.0,15.0,19.0
50,8.0,9.0,11.0,18.0,12.0,22.0,24.0,19.0,14.0,12.0,19.0,18.0,17.0,21.0,24.0,8.0,4.0,12.0,13.0,13.0,16.0
51,12.0,9.0,9.0,14.0,12.0,24.0,24.0,17.0,17.0,14.0,18.0,19.0,14.0,24.0,21.0,7.0,13.0,6.0,11.0,10.0,19.0
52,10.0,13.0,13.0,8.0,12.0,24.0,24.0,10.0,15.0,14.0,19.0,20.0,21.0,24.0,23.0,11.0,5.0,0.0,16.0,15.0,17.0
53,14.0,8.0,9.0,14.0,12.0,24.0,23.0,16.0,9.0,19.0,20.0,12.0,23.0,24.0,24.0,16.0,7.0,10.0,11.0,13.0,6.0
54,14.0,13.0,11.0,12.0,8.0,22.0,24.0,13.0,19.0,15.0,16.0,16.0,20.0,24.0,21.0,18.0,10.0,7.0,10.0,8.0,13.0
55,8.0,6.0,14.0,12.0,16.0,24.0,24.0,19.0,15.0,18.0,9.0,19.0,19.0,24.0,22.0,11.0,12.0,5.0,19.0,8.0,10.0
56,9.0,13.0,9.0,16.0,9.0,24.0,24.0,18.0,15.0,13.0,16.0,17.0,20.0,24.0,24.0,10.0,7.0,8.0,19.0,6.0,13.0
57,10.0,2.0,13.0,17.0,15.0,23.0,24.0,15.0,9.0,10.0,22.0,19.0,24.0,24.0,17.0,4.0,8.0,10.0,19.0,13.0,16.0
58,3.0,8.0,13.0,12.0,20.0,24.0,24.0,12.0,7.0,10.0,22.0,24.0,24.0,23.0,6.0,6.0,7.0,4.0,20.0,22.0,23.0
59,3.0,3.0,16.0,16.0,22.0,24.0,20.0,12.0,13.0,10.0,21.0,19.0,24.0,22.0,7.0,2.0,16.0,10.0,17.0,17.0,20.0
60,12.0,2.0,14.0,17.0,15.0,24.0,20.0,14.0,8.0,17.0,21.0,21.0,18.0,21.0,14.0,14.0,2.0,2.0,16.0,20.0,22.0
61,11.0,17.0,9.0,14.0,6.0,24.0,23.0,17.0,17.0,15.0,17.0,17.0,16.0,24.0,18.0,13.0,8.0,6.0,16.0,9.0,17.0
62,10.0,11.0,7.0,18.0,10.0,24.0,24.0,17.0,14.0,10.0,18.0,16.0,24.0,24.0,18.0,10.0,4.0,3.0,19.0,20.0,13.0
63,9.0,12.0,18.0,18.0,13.0,17.0,17.0,16.0,13.0,21.0,19.0,16.0,14.0,18.0,18.0,16.0,7.0,9.0,12.0,18.0,13.0
64,6.0,7.0,17.0,17.0,9.0,24.0,24.0,14.0,13.0,18.0,19.0,17.0,18.0,20.0,20.0,6.0,15.0,1.0,15.0,18.0,16.0
65,6.0,12.0,13.0,14.0,13.0,22.0,24.0,17.0,22.0,19.0,14.0,13.0,14.0,24.0,24.0,16.0,8.0,9.0,7.0,11.0,12.0
66,3.0,8.0,16.0,19.0,19.0,19.0,20.0,14.0,18.0,14.0,19.0,18.0,16.0,24.0,8.0,12.0,9.0,12.0,14.0,15.0,17.0
67,6.0,4.0,18.0,14.0,14.0,24.0,24.0,15.0,5.0,8.0,23.0,24.0,24.0,24.0,22.0,4.0,4.0,6.0,16.0,13.0,22.0
68,7.0,8.0,15.0,16.0,10.0,24.0,24.0,24.0,11.0,18.0,16.0,14.0,16.0,24.0,19.0,3.0,10.0,9.0,10.0,17.0,19.0
69,7.0,6.0,15.0,8.0,20.0,24.0,24.0,10.0,14.0,10.0,17.0,24.0,24.0,24.0,19.0,11.0,3.0,9.0,17.0,24.0,4.0
70,4.0,4.0,14.0,19.0,19.0,22.0,22.0,8.0,15.0,13.0,21.0,22.0,20.0,16.0,8.0,3.0,8.0,6.0,24.0,24.0,22.0
71,9.0,5.0,19.0,19.0,10.0,21.0,21.0,19.0,14.0,18.0,18.0,14.0,16.0,18.0,16.0,3.0,10.0,12.0,15.0,19.0,18.0
72,9.0,7.0,12.0,18.0,15.0,19.0,24.0,14.0,18.0,14.0,17.0,19.0,17.0,23.0,15.0,8.0,10.0,7.0,20.0,14.0,14.0
73,11.0,7.0,15.0,13.0,11.0,24.0,23.0,16.0,15.0,12.0,16.0,20.0,20.0,24.0,15.0,11.0,12.0,10.0,11.0,13.0,15.0
74,10.0,9.0,14.0,16.0,7.0,24.0,24.0,12.0,14.0,5.0,20.0,24.0,24.0,24.0,19.0,4.0,5.0,5.0,17.0,19.0,18.0
75,8.0,0.0,18.0,23.0,7.0,24.0,24.0,14.0,12.0,15.0,15.0,19.0,24.0,24.0,24.0,6.0,6.0,10.0,12.0,11.0,18.0
76,4.0,6.0,15.0,13.0,18.0,24.0,24.0,14.0,21.0,10.0,12.0,24.0,18.0,24.0,15.0,11.0,2.0,3.0,22.0,15.0,19.0
77,7.0,6.0,11.0,10.0,22.0,24.0,24.0,12.0,10.0,7.0,22.0,24.0,24.0,24.0,12.0,7.0,5.0,5.0,20.0,24.0,14.0
78,4.0,4.0,13.0,15.0,20.0,24.0,24.0,18.0,16.0,12.0,24.0,15.0,14.0,24.0,15.0,6.0,5.0,13.0,17.0,16.0,15.0
79,13.0,13.0,10.0,15.0,13.0,17.0,23.0,14.0,15.0,16.0,21.0,17.0,16.0,22.0,17.0,17.0,7.0,12.0,6.0,15.0,15.0
80,8.0,8.0,14.0,18.0,16.0,19.0,21.0,20.0,8.0,16.0,20.0,20.0,15.0,18.0,18.0,4.0,6.0,4.0,19.0,18.0,24.0
