,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
33,17.0,11.0,20.0,6.0,16.0,16.0,17.0,16.0,14.0,7.0,9.0,7.0,23.0,20.0,13.0,5.0,19.0,18.0,5.0,14.0,16.0,22.0,13.0
34,9.0,5.0,12.0,10.0,22.0,23.0,22.0,1.0,3.0,5.0,17.0,19.0,23.0,22.0,19.0,1.0,18.0,4.0,13.0,23.0,19.0,24.0,10.0
35,19.0,8.0,4.0,8.0,21.0,19.0,24.0,5.0,4.0,6.0,14.0,24.0,10.0,24.0,22.0,3.0,10.0,3.0,5.0,19.0,24.0,24.0,24.0
36,8.0,14.0,7.0,7.0,24.0,24.0,19.0,13.0,0.0,0.0,14.0,18.0,20.0,20.0,24.0,2.0,10.0,2.0,9.0,22.0,24.0,22.0,21.0
37,24.0,13.0,3.0,2.0,20.0,17.0,24.0,10.0,4.0,6.0,11.0,21.0,16.0,17.0,24.0,3.0,7.0,2.0,6.0,22.0,24.0,24.0,24.0
38,8.0,11.0,11.0,13.0,18.0,24.0,18.0,4.0,1.0,2.0,21.0,19.0,24.0,16.0,22.0,1.0,14.0,21.0,13.0,16.0,18.0,21.0,8.0
39,8.0,8.0,3.0,16.0,24.0,20.0,24.0,8.0,1.0,13.0,20.0,20.0,16.0,15.0,16.0,0.0,17.0,12.0,21.0,17.0,15.0,15.0,15.0
40,15.0,8.0,6.0,8.0,20.0,22.0,24.0,7.0,6.0,2.0,24.0,9.0,15.0,24.0,22.0,7.0,1.0,7.0,3.0,24.0,23.0,24.0,23.0
41,9.0,18.0,16.0,13.0,19.0,13.0,15.0,17.0,1.0,12.0,14.0,19.0,15.0,15.0,16.0,8.0,8.0,11.0,10.0,24.0,21.0,14.0,16.0
42,24.0,17.0,19.0,9.0,16.0,10.0,8.0,11.0,14.0,15.0,16.0,13.0,12.0,17.0,11.0,3.0,5.0,13.0,14.0,20.0,17.0,21.0,19.0
43,17.0,13.0,19.0,11.0,13.0,15.0,15.0,6.0,6.0,16.0,14.0,16.0,18.0,9.0,24.0,9.0,15.0,14.0,14.0,19.0,15.0,11.0,15.0
44,24.0,15.0,12.0,17.0,11.0,11.0,13.0,9.0,14.0,4.0,20.0,13.0,14.0,17.0,18.0,13.0,9.0,13.0,2.0,13.0,20.0,22.0,20.0
45,20.0,5.0,6.0,2.0,24.0,24.0,22.0,4.0,6.0,6.0,24.0,16.0,10.0,24.0,19.0,4.0,5.0,6.0,8.0,20.0,24.0,24.0,21.0
46,12.0,6.0,7.0,8.0,22.0,24.0,24.0,6.0,7.0,5.0,3.0,21.0,19.0,24.0,24.0,12.0,6.0,1.0,0.0,21.0,24.0,24.0,24.0
47,11.0,3.0,22.0,14.0,17.0,21.0,15.0,2.0,4.0,6.0,24.0,18.0,19.0,21.0,15.0,3.0,14.0,16.0,10.0,24.0,21.0,12.0,12.0
48,24.0,18.0,9.0,8.0,15.0,6.0,23.0,9.0,9.0,6.0,21.0,5.0,11.0,24.0,24.0,2.0,2.0,17.0,11.0,15.0,23.0,18.0,24.0
49,13.0,6.0,7.0,5.0,24.0,24.0,24.0,4.0,2.0,1.0,24.0,18.0,14.0,24.0,22.0,3.0,12.0,3.0,19.0,23.0,21.0,24.0,7.0
50,14.0,10.0,10.0,14.0,19.0,12.0,24.0,8.0,6.0,3.0,9.0,18.0,19.0,24.0,22.0,5.0,4.0,6.0,4.0,24.0,24.0,21.0,24.0
51,23.0,6.0,4.0,14.0,11.0,23.0,22.0,3.0,16.0,8.0,21.0,4.0,9.0,24.0,24.0,12.0,4.0,3.0,10.0,20.0,15.0,24.0,24.0
52,9.0,8.0,7.0,14.0,20.0,21.0,24.0,4.0,10.0,4.0,15.0,20.0,13.0,24.0,19.0,6.0,9.0,13.0,6.0,8.0,24.0,24.0,22.0
53,17.0,20.0,8.0,3.0,18.0,17.0,20.0,6.0,1.0,14.0,17.0,17.0,12.0,19.0,23.0,5.0,12.0,7.0,10.0,19.0,21.0,24.0,14.0
54,19.0,13.0,10.0,14.0,14.0,15.0,18.0,4.0,14.0,6.0,17.0,3.0,24.0,17.0,24.0,3.0,16.0,5.0,10.0,16.0,16.0,23.0,23.0
55,19.0,15.0,7.0,12.0,17.0,14.0,19.0,15.0,6.0,11.0,18.0,19.0,14.0,11.0,15.0,8.0,7.0,5.0,15.0,23.0,18.0,20.0,16.0
56,16.0,8.0,7.0,15.0,19.0,18.0,20.0,3.0,2.0,15.0,24.0,11.0,13.0,23.0,18.0,2.0,16.0,9.0,13.0,24.0,11.0,24.0,13.0
