,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
78,19.0,19.0,15.0,14.0,9.0,24.0,10.0,21.0,11.0,13.0,15.0,10.0,18.0,22.0,24.0,13.0,20.0,13.0,11.0,8.0,15.0,14.0,11.0,8.0,14.0,17.0,24.0,14.0,17.0,17.0,14.0,11.0,13.0,11.0,21.0
79,17.0,11.0,12.0,10.0,12.0,24.0,24.0,22.0,19.0,15.0,23.0,11.0,10.0,10.0,22.0,24.0,24.0,8.0,15.0,5.0,6.0,9.0,3.0,21.0,15.0,24.0,16.0,14.0,23.0,24.0,9.0,11.0,6.0,7.0,24.0
80,18.0,15.0,11.0,16.0,15.0,11.0,24.0,8.0,13.0,21.0,18.0,18.0,22.0,10.0,20.0,24.0,10.0,15.0,9.0,13.0,13.0,12.0,13.0,22.0,15.0,20.0,6.0,14.0,19.0,13.0,14.0,18.0,10.0,12.0,18.0
81,24.0,10.0,7.0,7.0,14.0,24.0,24.0,6.0,24.0,21.0,22.0,14.0,14.0,9.0,20.0,18.0,24.0,21.0,13.0,4.0,4.0,10.0,8.0,9.0,19.0,20.0,20.0,16.0,22.0,24.0,9.0,9.0,9.0,18.0,13.0
82,16.0,10.0,14.0,15.0,18.0,13.0,24.0,21.0,23.0,17.0,12.0,15.0,2.0,20.0,24.0,24.0,17.0,15.0,7.0,5.0,12.0,9.0,17.0,14.0,15.0,14.0,19.0,14.0,17.0,15.0,6.0,15.0,10.0,20.0,21.0
83,17.0,18.0,14.0,13.0,12.0,19.0,17.0,15.0,16.0,17.0,16.0,24.0,11.0,11.0,19.0,18.0,20.0,6.0,19.0,8.0,14.0,11.0,14.0,13.0,15.0,18.0,11.0,20.0,24.0,16.0,16.0,10.0,8.0,10.0,20.0
84,24.0,13.0,9.0,9.0,11.0,24.0,20.0,10.0,11.0,12.0,24.0,8.0,21.0,24.0,24.0,18.0,24.0,24.0,5.0,5.0,4.0,11.0,10.0,12.0,21.0,24.0,17.0,7.0,24.0,24.0,8.0,9.0,6.0,9.0,24.0
85,19.0,10.0,17.0,17.0,16.0,18.0,13.0,18.0,11.0,19.0,17.0,19.0,12.0,14.0,24.0,17.0,12.0,16.0,13.0,10.0,12.0,14.0,13.0,14.0,24.0,15.0,9.0,13.0,12.0,21.0,19.0,16.0,6.0,6.0,24.0
86,17.0,13.0,11.0,1.0,23.0,21.0,24.0,8.0,21.0,22.0,24.0,5.0,14.0,16.0,24.0,24.0,18.0,24.0,6.0,5.0,3.0,7.0,16.0,7.0,18.0,21.0,24.0,9.0,22.0,24.0,10.0,15.0,1.0,10.0,22.0
87,13.0,19.0,12.0,12.0,22.0,13.0,19.0,9.0,8.0,18.0,9.0,18.0,24.0,24.0,24.0,24.0,11.0,7.0,10.0,11.0,17.0,5.0,15.0,16.0,24.0,10.0,16.0,16.0,24.0,17.0,6.0,15.0,7.0,13.0,22.0
88,21.0,15.0,16.0,6.0,15.0,14.0,23.0,18.0,24.0,7.0,18.0,11.0,14.0,18.0,23.0,16.0,16.0,24.0,5.0,12.0,8.0,6.0,6.0,13.0,21.0,24.0,16.0,16.0,18.0,18.0,14.0,16.0,7.0,7.0,24.0
