,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,24.0,24.0,21.0,11.0,7.0,8.0,8.0,8.0,10.0,16.0,7.0,10.0,12.0,24.0,22.0,8.0,18.0,10.0,10.0,8.0,10.0,24.0,24.0
1,24.0,11.0,16.0,14.0,19.0,5.0,14.0,20.0,5.0,8.0,10.0,14.0,13.0,17.0,22.0,9.0,7.0,12.0,7.0,18.0,11.0,24.0,24.0
2,18.0,15.0,16.0,13.0,16.0,15.0,10.0,9.0,17.0,10.0,6.0,13.0,14.0,16.0,24.0,15.0,9.0,10.0,9.0,15.0,6.0,24.0,24.0
3,24.0,20.0,17.0,10.0,16.0,10.0,6.0,14.0,13.0,9.0,14.0,11.0,20.0,18.0,10.0,8.0,7.0,8.0,7.0,14.0,24.0,20.0,24.0
4,8.0,12.0,6.0,20.0,21.0,20.0,16.0,6.0,4.0,12.0,20.0,13.0,18.0,18.0,18.0,4.0,16.0,13.0,12.0,19.0,24.0,15.0,9.0
5,19.0,24.0,19.0,6.0,2.0,23.0,10.0,7.0,11.0,6.0,24.0,4.0,10.0,24.0,23.0,13.0,8.0,8.0,12.0,7.0,17.0,23.0,24.0
6,24.0,7.0,9.0,7.0,23.0,10.0,23.0,12.0,17.0,6.0,7.0,24.0,4.0,23.0,16.0,3.0,7.0,3.0,7.0,20.0,24.0,24.0,24.0
7,10.0,16.0,16.0,7.0,17.0,20.0,17.0,6.0,6.0,11.0,17.0,17.0,15.0,19.0,18.0,2.0,14.0,16.0,18.0,15.0,23.0,15.0,9.0
8,19.0,22.0,17.0,17.0,4.0,17.0,7.0,9.0,10.0,13.0,21.0,10.0,14.0,18.0,14.0,7.0,9.0,6.0,8.0,15.0,19.0,24.0,24.0
9,24.0,21.0,19.0,8.0,13.0,6.0,12.0,8.0,8.0,17.0,12.0,11.0,10.0,24.0,19.0,9.0,10.0,8.0,8.0,14.0,15.0,24.0,24.0
10,16.0,12.0,15.0,12.0,13.0,20.0,15.0,12.0,12.0,9.0,11.0,17.0,12.0,15.0,21.0,4.0,13.0,16.0,10.0,13.0,13.0,19.0,24.0
11,22.0,4.0,3.0,11.0,16.0,24.0,23.0,6.0,2.0,6.0,20.0,15.0,12.0,24.0,24.0,6.0,8.0,6.0,3.0,18.0,24.0,23.0,24.0
12,14.0,8.0,17.0,17.0,17.0,15.0,15.0,18.0,9.0,6.0,15.0,14.0,17.0,14.0,16.0,8.0,19.0,12.0,4.0,15.0,15.0,24.0,15.0
13,18.0,19.0,15.0,8.0,19.0,9.0,15.0,6.0,16.0,17.0,8.0,13.0,14.0,18.0,17.0,15.0,3.0,10.0,17.0,9.0,14.0,24.0,20.0
14,19.0,12.0,15.0,18.0,12.0,18.0,9.0,15.0,18.0,7.0,18.0,7.0,13.0,13.0,18.0,15.0,2.0,5.0,13.0,11.0,18.0,24.0,24.0
