,Power load,Electricity Cost,Damage
0,905.3479352626839,1327.525740752014,3.899081367264748
1,899.9682295637402,1347.127244058651,3.7359588393333936
2,864.5159788621918,1347.2110861696408,3.755412880420814
3,844.1941962921367,1330.7478183468054,3.771930917288041
4,1033.2432902085566,1331.2792517236594,3.260386964188035
5,880.8517105959636,1309.9524285880511,4.210863448179302
6,878.4904931109411,1364.263223623776,3.058413852871647
7,836.9071007206088,1332.4587001797518,3.7664156204695853
8,934.1498906634981,1336.6997598914954,3.392757035732887
9,816.6330919931671,1331.0661609919514,4.189959416556418
10,892.0187262943269,1327.2775142064713,3.943663472008558
11,1027.3430711829028,1338.1399324914255,3.2684805476351992
12,786.8576842822006,1357.6292075566428,3.5601676178420485
13,1068.8057750986195,1285.050646343774,3.966846759463343
14,776.7132317642538,1366.5162691208193,4.4688516107834335
15,933.6831292497451,1411.2787679262126,3.0331206161246245
16,1132.5694933494879,1277.861674486494,4.104740476368128
17,892.6762019002385,1349.1711690372742,3.230478301421841
18,1017.5652594386102,1292.1697627345118,4.0330048795144995
19,1020.3181360614274,1338.263694757008,3.1983049592009456
20,1122.0512454221991,1295.4913414777695,3.939804962240518
21,949.7250369276261,1310.4784209686004,3.7536461490462676
22,1024.1270365563485,1290.357778709766,4.5258274905197995
23,1010.7826234403789,1358.6810802007085,2.9821221296974465
24,943.7367735536016,1370.508986981295,2.9719079504589936
25,864.7405678598934,1365.2430540702885,3.208474729758221
26,935.1637320977264,1334.5722259136724,3.5383716154090923
27,906.1183442787551,1314.765635502002,3.6947067080124074
28,873.84774413083,1324.048460206252,4.051324256548299
29,951.4345641643329,1298.967339739356,3.6541884140409633
30,926.5557750234962,1321.265428437551,3.6457349534161954
31,1009.2969474984101,1333.66556910539,3.442130064011696
32,990.0284069289521,1307.0604107322551,3.5449225687066903
33,990.5498515137375,1340.5877754451824,3.283572137282191
34,1004.5058151339447,1295.2106321671495,4.1562385433028135
35,929.3395355940931,1342.413403604399,3.0823872575574867
36,905.9607230261607,1341.7181384361925,3.201036438963858
37,821.404631466321,1347.27053682504,3.4022891402567343
38,1064.649992605182,1291.3088624179059,4.008417627160086
