,0
0,5016.815290736662
1,5016.793038387263
2,4820.461993668325
3,4801.353495219234
4,4801.353741948082
5,4757.132206040854
6,4757.3347734806575
7,4743.7840545424015
8,4727.860209154122
9,4727.344621068122
10,4727.325870302214
11,4648.587301888485
12,4648.576311967513
13,4638.027412730417
14,4637.720934946454
15,4637.57946143928
16,4637.64616034694
17,4542.812812591434
18,4542.774476196265
19,4542.761846832361
20,4542.699399554883
21,4542.705305651978
22,4542.702105805807
23,4542.700450403686
24,4542.7379833901
25,4542.755220933142
26,4542.757556900939
27,4542.770341354259
28,4542.742813105569
29,4542.726690404174
30,4542.726464292387
31,4386.500986805651
32,4386.510130650987
33,4386.510042273431
34,4386.503223125333
35,4386.572273933446
36,4376.049691621389
37,4376.048289584439
38,4376.030718969685
39,4376.0252355937755
40,4376.0252355937755
41,4375.973303159318
42,4375.961744336055
43,4375.960654802719
44,4375.953685117871
45,4375.953685117871
46,4375.958801684716
47,4375.958801684716
48,4375.957878075021
49,4375.957878075021
50,4375.956779500276
51,4375.953952324813
52,4375.953940024666
53,4375.953940024666
54,4375.968347694352
55,4375.968347694352
56,4375.967514329985
57,4375.9587672899615
58,4375.9587309214085
59,4375.9587309214085
60,4375.9587309214085
61,4375.9587309214085
62,4375.954977554436
63,4375.954840275806
64,4375.946635718705
65,4375.946755744309
66,4375.946755744309
67,4375.900326521896
68,4375.900326521896
69,4375.900326521896
70,4375.900292062837
71,4375.915831933551
72,4375.913136793939
73,4375.9113797987
74,4375.9113797987
75,4375.91719462413
76,4375.905132771353
77,4375.915596798528
78,4375.90817678316
79,4375.908040703897
80,4375.906838222553
81,4375.930703002465
82,4375.940253960972
83,4375.92710379128
84,4375.9929040902
85,4375.991671352889
86,4375.991671352889
87,4375.976570409367
88,4375.976570409367
89,4375.976570409367
90,4375.976570409367
91,4375.976570409367
92,4375.966042640848
93,4375.961579427956
94,4375.961579427956
95,4375.962242837829
96,4375.962242837829
97,4375.962242837829
98,4375.957400537248
99,4375.938691557309
100,4375.9432494118555
101,4375.9432494118555
102,4375.951568678429
103,4375.951833928154
104,4375.946858512946
105,4375.946858512946
106,4375.9307347145705
107,4375.923641631842
108,4375.921358693828
109,4375.921358693828
110,4375.921358693828
111,4375.953350360217
112,4375.953350360217
113,4375.95355243752
114,4375.95355243752
115,4375.95355243752
116,4375.951700330357
117,4375.951700330357
118,4375.95128767333
119,4375.95128767333
120,4375.958859118759
121,4375.958859118759
122,4375.958859118759
123,4375.958859118759
124,4375.96062225259
125,4375.956227542886
126,4375.959157075539
127,4375.953803783774
128,4375.953803783774
129,4375.953803783774
130,4375.953245842578
131,4375.947393632691
132,4375.947393632691
133,4368.92784796429
134,4368.92784796429
135,4368.92784796429
136,4368.935273437835
137,4368.935273437835
138,4368.935273437835
139,4368.933877632754
140,4368.933761202493
141,4368.933692514521
142,4368.948855400357
143,4368.949040518592
144,4368.94272131969
145,4368.95748114801
146,4368.95748114801
147,4368.95748114801
148,4368.95748114801
149,4368.962780937166
150,4368.962780937166
151,4368.959749079865
152,4368.959749079865
153,4368.928025515534
154,4368.928025515534
155,4369.040907188893
156,4369.040907188893
157,4369.040907188893
158,4369.040907188893
159,4369.034803055311
160,4369.034803055311
161,4369.034803055311
162,4369.041356510404
163,4369.041356510404
164,4369.051636723232
165,4369.047678892829
166,4369.047678892829
167,4369.047678892829
168,4369.047678892829
169,4369.047659766885
170,4369.047446362935
171,4369.047446362935
172,4369.047446362935
173,4369.046153786582
174,4369.046183771566
175,4369.046183771566
176,4369.046183771566
177,4369.046183771566
178,4369.046183771566
179,4369.046183771566
180,4369.04620289751
181,4369.04620289751
182,4369.04620289751
183,4369.04620289751
184,4369.04620289751
185,4369.04620289751
