,0
0,860.3476370202086
1,2331.017392852034
2,1910.17388122614
3,2235.135014702847
4,1580.475281013073
5,1576.2337830795161
6,1199.7384951711872
7,1568.0208524159154
8,1772.1194652830482
9,1547.1029920445715
10,1786.0514344237524
11,1380.8642269870788
12,1533.5765206848762
13,1527.1008073865476
14,1509.2505383513426
15,1509.2505383513426
16,1342.6081232684744
17,1342.1151041844616
18,1226.121129358518
19,1226.121129358518
20,1340.9351337227122
21,1220.2359484415315
22,1220.2359484415315
23,1127.8579113287153
24,1127.8579113287153
25,995.324050543796
26,1052.6577042662655
27,1052.6577042662655
28,1052.6577042662655
29,991.1217868978254
30,991.1217868978254
31,521.6588645273881
32,518.1009163459426
33,489.74955596881733
34,462.9602536628418
35,472.0188951339687
36,447.0830596052178
37,435.17311973561493
38,420.10155085562826
39,412.75662955725545
40,397.9266917919411
41,403.73134901758914
42,404.8036817163192
43,395.03165033724576
44,383.82988747888015
45,414.26233102540044
46,428.14999318000594
47,415.40058178845254
48,422.1155495160555
49,419.0578301295346
50,412.0359557659718
51,407.5634304583762
52,413.1460185566441
53,423.7624986115003
54,416.5223288407475
55,406.74431684224413
56,404.5347754475763
57,398.5424437446019
58,401.46745607339705
59,405.58553599706806
60,399.7961821443942
61,418.6610087672444
62,404.13517012975916
63,392.7223218805173
64,386.9286878904941
65,388.7561313212524
66,384.76773529096744
67,384.9302844038314
68,382.5752748030974
69,380.57441200042706
70,376.4487624747655
71,373.1461024968039
72,364.3089864625677
73,360.3163962077495
74,355.62578259294196
75,353.0732660586387
76,350.52147002198006
77,355.2590547885519
78,362.4279855927073
79,373.84458226832896
80,370.346815338198
81,362.16840047589176
82,358.1233166996023
83,355.0770491225867
84,360.98654608084314
85,361.8175517243333
86,356.31920801940623
87,353.67849420418037
88,349.3759920980456
89,359.99843582124765
90,354.3852794154605
91,358.66483295105223
92,357.46246919113463
93,357.8201342338997
94,353.4903529944748
95,351.36934783927103
96,352.0581973469981
97,350.2645429239035
98,345.3589901661441
99,343.9589808077892
100,346.1110545547669
101,348.9268073327899
102,345.89909198127015
103,346.4941403604412
104,347.47716049050103
105,343.5978383650003
106,337.36536769860885
107,335.9979296638425
108,339.77414092622143
109,338.05040914905766
