,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,24.0,15.0,12.0,9.0,11.0,20.0,12.0,16.0,15.0,13.0,14.0,4.0,17.0,12.0,18.0,4.0,5.0,9.0,6.0,24.0,16.0,24.0,24.0
1,16.0,14.0,16.0,3.0,19.0,21.0,14.0,8.0,13.0,13.0,12.0,5.0,18.0,21.0,19.0,11.0,8.0,12.0,6.0,17.0,16.0,21.0,21.0
2,16.0,18.0,13.0,14.0,11.0,18.0,13.0,15.0,1.0,2.0,19.0,18.0,14.0,20.0,20.0,6.0,11.0,10.0,8.0,18.0,20.0,21.0,18.0
3,24.0,14.0,9.0,9.0,7.0,20.0,20.0,12.0,14.0,18.0,15.0,3.0,8.0,16.0,23.0,2.0,8.0,9.0,7.0,23.0,15.0,24.0,24.0
4,20.0,8.0,17.0,11.0,17.0,16.0,14.0,14.0,14.0,9.0,17.0,13.0,12.0,18.0,12.0,4.0,14.0,12.0,15.0,15.0,19.0,18.0,15.0
5,20.0,14.0,11.0,11.0,13.0,14.0,20.0,14.0,9.0,12.0,10.0,16.0,14.0,16.0,18.0,1.0,16.0,12.0,7.0,21.0,16.0,18.0,21.0
6,12.0,14.0,13.0,17.0,13.0,17.0,17.0,8.0,7.0,3.0,14.0,14.0,17.0,24.0,22.0,6.0,9.0,9.0,7.0,17.0,23.0,24.0,17.0
7,24.0,11.0,18.0,9.0,13.0,14.0,14.0,13.0,8.0,8.0,15.0,9.0,16.0,24.0,16.0,6.0,7.0,9.0,9.0,14.0,20.0,24.0,23.0
8,20.0,19.0,12.0,12.0,15.0,13.0,12.0,7.0,6.0,0.0,12.0,18.0,21.0,21.0,24.0,13.0,9.0,3.0,6.0,19.0,14.0,24.0,24.0
9,15.0,8.0,16.0,19.0,14.0,11.0,20.0,12.0,7.0,4.0,12.0,17.0,11.0,23.0,23.0,6.0,12.0,7.0,8.0,17.0,15.0,24.0,23.0
